alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kcal/100g)","Energie, N x facteur Jones, avec fibres (kJ/100g)","Energie, N x facteur Jones, avec fibres (kcal/100g)",Eau (g/100g),Protéines (g/100g),"Protéines brutes, N x 6.25 (g/100g)",Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26087,"Maquereau, fumé","Maquereau, fumé",298,1240,298,"55,7","19,8","19,8",0,"24,3",0,-,0,0,"2,14",0,0,"5,35","9,59","6,83",-,-,-,-,-,"1,31","2,34","0,45","1,89","0,36","0,83",-,"1,29","2,45",80,"0,96",20,1130,"0,09","1,1","46,5",29,"0,02",267,312,"31,9",384,"0,1","53,5",-,"5,2","1,6",0,-,0,"0,14","0,35",10,"0,52","0,5",8,"9,91"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26090,Haddock (fumé) ou églefin fumé,Haddock (fumé) ou églefin fumé,100,426,100,"76,1","23,5","23,5",0,"0,73",0,0,0,0,"2,73",0,0,"0,13","0,098","0,22",0,0,0,0,0,"0,0062","0,084","0,042","0,035",-,"0,023",-,"0,063","0,11",77,"1,91",49,1200,"0,042","1,4",255,54,"0,03",251,415,28,763,"0,5",24,0,"0,8","0,55","0,1",-,0,"0,047","0,049","5,07","0,17","0,4",15,"1,6"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26093,"Espadon, rôti/cuit au four","Espadon, rôti/cuit au four",266,1110,266,"52,9","28,7","28,7",traces,"16,9",0,0,0,0,"1,52",0,0,"1,51","8,22","2,67",0,0,0,0,"0,0067","0,15","1,01","0,34",0,0,0,0,"0,2","1,31",129,"0,18","5,5",170,"0,046","0,53","9,3","34,1","0,021",200,475,122,"73,4","0,78",43,0,"16,6","7,2","0,1",-,0,"0,047","0,13","9,8","0,46","0,62",2,"2,91"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26094,"Turbot, rôti/cuit au four","Turbot, rôti/cuit au four",118,497,118,"72,7","21,3","21,3",traces,"3,64",0,0,0,0,"2,69",0,0,"0,9","0,8","0,7",-,-,-,-,-,-,-,-,-,-,-,-,"0,32","0,38",62,"0,25","42,5",180,"0,049","0,53",30,"63,5","0,022",213,323,-,192,"0,29",12,0,0,0,-,-,"1,7","0,068","0,12","2,54","0,66","0,24",9,"2,54"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26120,"Merlu, cuit à l'étouffée","Merlu, cuit à l'étouffée",112,472,112,"74,4","21,2","21,2",traces,3,0,0,0,0,"1,08",0,0,"0,92",-,"0,59",-,-,-,-,-,-,-,"0,057",-,-,-,-,"0,11","0,28","77,4","0,25","41,8","0,2","< 0,1","0,3",42,"29,2","< 0,1",190,290,22,"99,2","0,55","7,5",0,"3,2","0,6",-,-,0,"0,052","0,086","2,65","0,24","0,23","26,4","1,6"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26126,"Églefin, grillé/poêlé","Églefin, grillé/poêlé","84,9",360,"84,9","79,7",20,20,traces,"0,55",0,-,0,0,"1,56",0,0,"0,11","0,074","0,2",0,0,0,0,"0,002","0,005","0,077","0,025",-,-,-,-,"0,051","0,11",66,"0,65",14,-,"0,026","0,21",-,26,"0,013",278,351,-,261,"0,4",21,0,"0,6","0,55","0,1",-,0,"0,023","0,069","4,12","0,49","0,33",13,"2,13"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26136,"Sardine, grillée","Sardine, grillée",194,812,194,64,"25,1","25,1",traces,"10,4",0,0,0,0,"1,24",0,0,"2,9","2,94","3,52",-,-,-,-,0,"0,44","1,7","0,51",-,-,-,-,-,-,0,"0,35",130,170,"0,14","1,7",32,34,"0,08",320,400,38,140,"1,4",0,0,"12,3","0,31",-,-,traces,traces,"0,25","6,9","0,88","0,41",4,12
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26147,"Vivaneau, cuit","Vivaneau, cuit",121,511,121,"71,7","26,3","26,3",traces,"1,72",0,-,0,0,"1,41",0,0,"0,37","0,32","0,59",-,-,-,-,-,"0,053","0,19","0,07",-,-,-,-,"0,048","0,27",47,"0,14",40,-,"0,046","0,82",-,37,"0,017",201,522,-,57,"0,44",35,-,-,-,-,-,"1,6","0,053","0,004","0,35","0,87","0,46",6,"3,5"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26148,"Rascasse, cuite à la vapeur","Rascasse, cuite à la vapeur",126,533,126,"71,7","24,6","24,6",traces,"3,1",0,-,0,0,"1,14",0,0,"0,61","0,83","0,73","< 0,0011","< 0,0011","< 0,0011","< 0,0011","0,0022","0,13","0,39","0,069","0,34","0,048","0,022","0,024","0,21","0,37","48,9","0,22",14,115,"0,02","0,18",< 20,33,"0,01",200,380,80,"88,8","0,37",< 21,-,"1,09",-,"< 0,8",-,-,"0,025","0,04","1,32","0,084","0,14",< 5,"1,65"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26152,"Lieu ou colin d'Alaska, fumé","Lieu ou colin d'Alaska, fumé","81,3",344,"81,3",-,"18,3","18,3",0,"0,9",0,-,0,0,-,0,0,"0,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26211,"Saumon, cuit au micro-ondes, élevage","Saumon, cuit au micro-ondes, élevage",200,834,200,63,"24,2","24,2",traces,"11,4",0,-,0,0,"1,33",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,098",5,-,"< 0,1","0,4",300,"31,6","< 0,1",250,402,< 5,39,"0,4",15,-,"3,3","2,4",-,-,-,"0,21","0,054","7,6","1,45","0,71",19,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26217,"Saumon, bouilli/cuit à l'eau, élevage","Saumon, bouilli/cuit à l'eau, élevage",193,805,193,"63,4",25,25,traces,"10,3",0,-,0,0,"1,22",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,084","4,6",-,"< 0,1","0,3",200,"29,7","< 0,1",150,347,< 5,"33,6","0,4",14,-,"3,45","2,63",-,-,-,"0,25","0,056","6,25","1,5","0,58",28,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26222,"Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four","Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four",121,512,121,71,"22,9","22,9",traces,"3,3",0,-,0,0,"1,33",0,0,"0,75","0,78","0,78","< 0,0012","< 0,0012","< 0,0012","< 0,0012","0,0046","0,13","0,43","0,13","0,28","0,028","0,0092","0,074","0,45","0,17",67,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26229,"Saumon, grillé/poêlé","Saumon, grillé/poêlé",223,933,223,"60,1","25,5","25,5",traces,"13,5",0,-,0,0,"1,32",0,0,"2,87","6,18","4,16",0,0,0,0,0,"0,67","1,75","0,35","1,79",-,-,-,"0,78","1,5","71,8","0,11","8,4","86,2","0,05","0,43","56,8","31,7","0,05",263,414,11,"44,2","0,48","17,5",-,"5,82","3,52",-,-,-,"0,23","0,086","8,15","1,7","0,34",18,"3,4"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26230,"Saumon, élevage, rôti/cuit au four","Saumon, élevage, rôti/cuit au four",210,874,210,"62,2","22,1","22,1",traces,"13,5",0,-,0,0,"1,23",0,0,"2,5","4,43","4,43",-,-,-,-,-,"0,57","1,49","0,32",-,-,-,-,"0,69","1,46",63,"0,15",15,-,"0,049","0,34",-,30,"0,016",252,384,-,61,"0,43",-,-,-,-,-,-,"3,7","0,3","0,11","8,05","1,49","0,39","21,1","2,65"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26232,"Hareng fumé, à l'huile","Hareng fumé, à l'huile",168,699,168,"65,3","15,1","15,1",2,11,0,0,0,0,"6,57",0,0,"3,12","1,95","5,48","< 0,0051","< 0,0051","< 0,0051","< 0,0051","0,018","0,87","1,48","0,13","1,51","0,24","0,18","0,039","3,03","1,18","49,9","4,08","59,2",3820,"0,1","0,9",20,"27,4","< 0,1",125,173,17,1630,"0,5",12,-,"14,5","0,96",-,-,-,"< 0,04","0,2","2,25","0,41","0,28",10,"9,4"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26234,"Julienne ou Lingue, cuite","Julienne ou Lingue, cuite",105,447,105,"73,9","24,5","24,5",traces,"0,82",0,-,0,0,"1,21",0,0,"< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","< 0,00018","64,9","0,21",13,117,"0,02","0,14",49,31,"< 0,01",180,330,60,"84,3","0,62",< 21,-,"< 0,5",-,"< 0,8",-,0,"0,024","0,01","2,26","0,22","0,22","19,5","0,78"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26247,"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur","Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur",173,722,173,"68,8","17,3","17,3",traces,"11,6",0,-,0,0,"1,07",0,0,"2,07","7,38","0,98","< 0,0052","< 0,0052","< 0,0052","< 0,0052","0,01","0,49","1,27","0,21","1,81","0,1","0,031","0,021","0,34","0,34","68,1","0,36","8,6",133,"0,02","0,07",< 20,21,"< 0,01",160,240,60,143,"0,36",< 21,-,"4,36",-,"< 0,8",-,-,"0,03","0,02","0,66","0,16","0,041",< 5,"0,69"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26248,"Sole, poêlée","Sole, poêlée","96,7",410,"96,7","75,6","23,6","23,6",traces,"< 0,5",0,-,0,0,"1,53",0,0,"< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","69,3","0,37",39,228,"0,02","0,14",20,27,"< 0,01",180,370,30,147,"0,45",< 21,-,"0,47","0,5","< 0,8",-,"0,87","0,058","0,094","2,18","0,37","0,34",15,"1,4"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,26999,"Anguille, cuite (aliment moyen)","Anguille, cuite (aliment moyen)",213,888,213,"60,7","22,1","22,1",0,"13,8",0,,0,0,,0,0,"3,15","7,8","1,51",,,,,,,,,,,,,"0,2","0,37",,,,,"0,029",,8,,"0,04",,,,,"2,08",,0,,,,,,,,,,,,
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27000,"Anguille, rôtie/cuite au four","Anguille, rôtie/cuite au four",229,955,229,"59,3","23,6","23,6",traces,15,0,-,0,0,"1,8",0,0,"3,02","9,22","1,21",0,0,0,0,0,"0,74","2,03","0,25",-,-,-,-,"0,17","0,28",161,"0,16",26,-,"0,029","0,64",8,26,"0,04",277,349,-,65,"2,08",1140,0,-,-,-,-,"1,8","0,18","0,051","4,49","0,28","0,077",17,"2,89"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27001,"Anguille, bouillie/cuite à l'eau","Anguille, bouillie/cuite à l'eau",197,820,197,62,"20,5","20,5",traces,"12,7",0,-,0,0,-,0,0,"3,28","6,38","1,8",-,-,-,-,-,-,-,-,-,-,-,-,"0,24","0,47",-,-,-,-,"0,029",-,8,-,"0,04",-,-,28,-,"2,08",-,0,-,"5,1",-,-,-,-,-,-,-,-,-,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27002,"Brochet, rôti/cuit au four","Brochet, rôti/cuit au four",100,425,100,"74,7","23,1","23,1",traces,"0,88",0,-,0,0,"1,54",0,0,"0,15","0,21","0,27",-,-,-,-,"0,001","0,023","0,1","0,023",-,-,-,-,"0,088","0,18",50,"0,12",73,-,"0,058","0,71",12,40,"0,28",282,331,-,49,"0,77",24,0,"2,7",-,-,-,"3,8","0,067","0,077","2,8","0,81","0,14",16,"2,15"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27004,"Carpe, rôtie/cuite au four","Carpe, rôtie/cuite au four",151,633,151,"69,6","21,6","21,6",traces,"7,17",0,-,0,0,"1,87",0,0,"1,27","2,74","1,69",-,-,-,-,-,"0,15","0,84","0,24",-,-,-,-,"0,19","0,1",84,"0,16",52,-,"0,12","1,59",6,38,"0,23",531,427,"20,2",63,"1,58",10,0,"3,25",-,-,-,"1,6","0,14","0,07","2,1","0,87","0,22",17,"1,47"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27005,"Perche, rôtie/cuite au four","Perche, rôtie/cuite au four",119,503,119,"73,7","22,1","22,1",traces,"3,42",0,-,0,0,"0,97",0,0,"0,85","0,2","0,26",-,-,-,-,"0,0024","0,073","0,51","0,19","0,2","0,023","0,021","0,039","0,036","0,14","82,4","0,096",73,-,"0,058","0,71",< 5,26,"0,28",105,331,26,"38,3","0,77",24,0,9,"1,32",-,-,"3,8","0,09","0,077","2,98","0,81","0,13",16,"0,83"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27006,"Truite, rôtie/cuite au four","Truite, rôtie/cuite au four",183,766,183,"63,4","26,6","26,6",traces,"8,47",0,-,0,0,"1,5",0,0,"1,47","4,17","1,92",-,-,-,-,-,"0,24","1,05","0,19",-,-,-,-,"0,28","0,66",74,"0,17",55,-,"0,14","1,92",6,28,"0,56",314,463,3,67,"0,71",19,0,-,-,-,-,"0,5","0,43","0,42","5,77","2,24","0,23",15,"7,49"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27007,"Truite, cuite à la vapeur","Truite, cuite à la vapeur","99,4",419,"99,4",75,19,19,traces,"2,6",0,-,0,0,-,0,0,"0,54","0,74","1,06",-,-,-,-,-,-,-,-,-,-,-,-,"0,29","0,64",-,-,-,-,"0,03",-,6,-,"0,027",-,-,3,-,"0,56",-,0,-,-,-,-,-,-,-,-,-,-,-,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27014,"Truite arc en ciel, élevage, rôtie/cuite au four","Truite arc en ciel, élevage, rôtie/cuite au four",143,600,143,71,"21,5","21,5",traces,"6,33",0,-,0,0,"1,43",0,0,"1,51","2,15","1,94",0,0,0,0,"0,0058","0,21","0,91","0,1","1,91","0,78","0,2","0,021","0,3","0,65","56,9","0,13","60,5",65,"0,03","0,35","9,5","28,3","0,027",263,391,"2,85","53,3","0,59","9,5",0,15,"1,9","0,1",-,"2,9","0,17","0,11","5,42","1,79","0,37",11,"4,56"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27015,"Truite arc en ciel, élevage, cuite à la vapeur","Truite arc en ciel, élevage, cuite à la vapeur",117,493,117,75,20,20,traces,"4,14",0,-,0,0,-,0,0,"0,86","1,4","1,46",-,-,-,-,-,-,-,-,-,-,-,-,"0,17","0,68",-,-,-,-,"0,03",-,8,-,"0,027",-,-,3,-,"0,56",-,0,-,-,-,-,-,-,-,-,-,-,-,-
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27018,"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit","Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit",79,335,79,"80,6","17,5","17,5",traces,1,0,-,0,0,"1,1",0,0,"0,51","0,36","0,07","< 0,01","< 0,01","< 0,01","0,036","0,046","0,055","0,31","0,064","0,31","0,07","< 0,01","< 0,01","< 0,01","< 0,01","40,8","0,58","7,5",176,"0,02","0,09",< 20,18,"< 0,01",130,200,< 20,233,"0,3",< 21,-,"< 0,25","0,28","< 0,8",-,"< 0,5","< 0,015","< 0,01","1,44","2,35","0,13","11,1","0,89"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27029,"Truite d'élevage, fumée","Truite d'élevage, fumée",180,753,180,"61,7","23,4","23,4","0,69","9,27",0,0,0,0,"4,86",0,0,"1,71","3,01","2,36","< 0,0041","< 0,0041","< 0,0041","< 0,0041","0,0019","0,3",1,"0,33","1,71","0,54","0,19","0,04","0,38","0,61","47,9","3,18","2,7",2460,"< 0,1","0,4",40,"31,4","< 0,1",227,412,23,1270,"0,4",51,0,"5,2","2,3",-,-,0,"0,21","0,081","7,1","2,05","0,67",26,"3,2"
4,405,0,"viandes, œufs, poissons",poissons cuits,-,27030,"Bar commun ou loup, rôti/cuit au four","Bar commun ou loup, rôti/cuit au four",147,617,147,"69,1","22,2","22,2",traces,"6,51",0,-,0,0,"1,26",0,0,"1,27","2,36","2,14","< 0,0029","< 0,0029","< 0,0029","< 0,0029","0,003","0,16","0,85","0,19","1,45","0,56","0,15","0,042","0,35","0,5","63,3","0,17",11,119,"0,05","0,28","13,4","30,3","0,01",183,410,< 50,"68,8","0,42",< 21,-,"4,15","0,97","< 0,8",-,-,"0,17","0,08","3,49","0,53","0,26","12,6","3,7"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26001,"Bar rayé ou bar d'Amérique, cru","Bar rayé ou bar d'Amérique, cru",113,477,113,"74,6","20,3","20,3",traces,"3,58",0,-,0,0,"1,5",0,0,"0,76","1,31","1,07",0,0,0,0,0,"0,08","0,58","0,1",-,-,-,-,"0,24","0,47","78,3","0,19",66,-,"0,081","1,41",60,36,"0,68",218,356,-,"76,3","0,63","30,7",-,-,-,-,-,"2,05","0,087","0,065","1,62","0,79","0,19","13,7","2,71"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26006,"Lieu ou colin d'Alaska, cru","Lieu ou colin d'Alaska, cru","70,8",300,"70,8","81,2","16,3","16,3",traces,"0,61",0,0,"< 0,17",0,"1,33",0,0,"0,015","0,008","0,028","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,0005","0,0095","0,0025","0,0035","0,004","0,00004","0,00004","0,0048","0,019","48,4","0,48","12,8",297,"0,039","0,4","78,2","36,9","0,014",160,296,"15,7",190,"0,41",4,0,"1,1","0,36","0,1",-,traces,"0,07","0,07","1,1","< 0,16","0,14",3,"2,3"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26009,"Flétan de l'Atlantique ou flétan blanc, cru","Flétan de l'Atlantique ou flétan blanc, cru","96,5",409,"96,5","76,8","21,2","21,2",traces,"1,31",0,0,0,0,"1,08",0,0,"0,21","0,45","0,51",-,-,-,-,-,"0,038","0,14","0,033","0,32","0,018","0,039","0,095","0,13","0,23","43,7","0,15",15,-,"0,2","0,65","12,6",23,"0,01",221,424,-,59,"0,45",40,0,-,"0,64",-,-,0,"0,05","0,063","4,9","0,28","0,38",12,"0,96"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26011,"Hareng, cru","Hareng, cru",176,734,176,"71,5","17,7","17,7",traces,"11,7",0,0,0,0,"1,44",0,0,"2,82","5,59","2,43",0,0,0,"0,0048","0,011","0,93","1,69","0,18","1,23","0,24","0,15",-,"0,65","1,1","55,6","0,22","61,6",331,"0,15","1,21","54,1",27,"0,027",235,342,"31,2","89,2","0,79","38,1",0,"10,7","1,21","0,45","0,21","0,75","0,035","0,24","3,95","0,84","0,38","9,4","11,5"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26018,"Lotte ou baudroie, crue","Lotte ou baudroie, crue","67,2",285,"67,2","82,6","15,1","15,1",traces,"0,74",0,-,"< 0,2",0,"1,11",0,0,"0,2","0,15","0,36",-,-,-,-,0,0,"0,063","0,026",-,"0,0068","0,004","0,007","0,053","0,12",25,"0,19","18,2",370,"0,027","0,3","32,2","20,7","0,022",241,296,"34,5","77,8","0,55",6,-,"1,43",0,-,-,"0,67","0,027","0,06","2,1","0,15","0,24",7,"0,9"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26036,"Saumon, cru, élevage","Saumon, cru, élevage",194,807,194,"66,5","20,5","20,5",traces,"12,4",0,0,"< 0,25",0,"1,22",0,0,"2,15","4,9","4,17",0,0,0,0,"0,008","0,4","1,25","0,31","2,56","1,15","0,32","0,018","0,62","0,88","53,6","0,16","5,84","73,2","< 0,1","0,48","8,21","27,4","< 0,1",181,358,"16,5","45,4","0,36","4,27","< 0,008","3,69","1,89","0,3","0,5","1,8","0,21","0,076","8,25","0,95","0,58","20,8","3,95"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26042,"Turbot sauvage, cru","Turbot sauvage, cru","91,5",386,"91,5","78,1","17,2","17,2",traces,"2,54",0,-,0,0,"2,1",0,0,"0,71","0,56","0,67",-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,"0,24","38,7",140,"0,039","0,45",35,49,"0,017",176,253,"47,3","95,3","0,21",11,-,traces,0,-,-,"0,85","0,055","0,1","2,13","0,57","0,21",8,"2,07"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26043,"Cabillaud, cru","Cabillaud, cru","77,6",329,"77,6","79,8","18,1","18,1",traces,"0,57",0,-,"< 0,2",0,"1,1",0,0,"0,1","0,068","0,22",0,0,0,0,0,"0,0024","0,072","0,019","0,03","0,003","0,001",-,"0,05","0,13","43,9","0,23","4,43",110,"< 0,1","0,49",101,"25,6","< 0,1",163,357,136,"65,2","0,39",< 2,0,"1,41","0,51","0,1",-,1,"< 0,04","0,049","2,18","0,14","0,16","21,2","1,32"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26044,"Merlu, cru","Merlu, cru","82,6",349,"82,6",80,"17,6","17,6",traces,"1,35",0,0,0,0,"1,34",0,0,"0,22","0,42","0,31",-,-,-,-,-,"0,011","0,17","0,034",-,"0,0056","0,0027","0,012","0,074","0,21","31,4","0,22","25,3",83,"0,082",1,"37,6","22,9","0,035",160,332,"31,2","98,6","0,64",traces,0,"2,15","0,25",0,-,traces,"0,08","0,17","1,7",0,"0,18",9,1
4,406,0,"viandes, œufs, poissons",poissons crus,-,26047,"Lieu noir, surgelé, cru","Lieu noir, surgelé, cru","82,4",350,"82,4","78,3","19,8","19,8",traces,"0,37",0,-,0,0,"1,3",0,0,"0,074","0,066","0,11",-,-,-,-,0,"0,0041","0,051","0,016","0,037","0,003","0,0012",-,"0,023",-,71,"0,2","19,4",-,"0,03","0,48",73,"21,4","0,037",107,255,"19,8","80,9","0,35",6,-,"0,89","0,36",0,-,0,"0,05","0,1","1,6",-,"0,12",10,"2,79"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26048,"Merlu, filet, surgelé, cru","Merlu, filet, surgelé, cru",82,346,82,"80,1","15,1","15,1",traces,"2,4",0,-,0,0,"0,68",0,0,"0,6",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,53","12,5",-,"0,03","0,16","20,3","36,8",-,"39,2","57,9","32,7",262,"0,13",-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,406,0,"viandes, œufs, poissons",poissons crus,-,26051,"Maquereau, cru","Maquereau, cru",194,808,194,"66,4","18,1","18,1",traces,"13,5",0,0,0,0,"1,12",0,0,"3,22","4,03","3,91",0,0,0,0,"0,004","0,46","2,14","0,46","1,86","0,13","0,12","0,12","0,91","1,56","49,7","0,16","4,92",82,"< 0,1","0,48","87,2","28,4","< 0,1",190,340,"37,6",64,"0,6","56,6",0,"6,44","1,08","3,6","0,4","0,2","0,086","0,19","9,13","0,32","0,53","8,16","4,9"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26052,"Raie, crue","Raie, crue","89,9",382,"89,9","76,8","21,4","21,4",traces,"0,47",0,0,0,0,"1,3",0,0,"0,12","0,074","0,16",-,-,-,-,0,"0,0014","0,084","0,025","0,034","0,003","0,001",-,"0,011","0,11","45,6","0,35","11,8",210,"< 0,1","0,23","23,6","23,1","< 0,1",136,279,"27,8",139,"0,41","1,2",0,"0,36","0,31",-,-,0,"< 0,04","0,05","3,44","0,15","0,19",5,"1,13"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26053,"Thon, cru","Thon, cru",144,607,144,"66,6",24,24,traces,"5,38",0,0,0,0,"1,3",0,0,"1,19","1,16","1,61",-,-,-,-,0,"0,1","0,75","0,34","1,16",-,"0,004","0,19","0,34","1,08",34,"0,12","17,7",0,"0,13","1,77","26,9","34,9","0,023",229,429,"97,1",49,"0,55",265,0,"7,8","1,2",-,-,"1,37","0,13","0,12",11,"0,66","0,54","13,6","3,79"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26055,"Carrelet ou plie, cru","Carrelet ou plie, cru","80,9",343,"80,9","79,3","18,1","18,1",traces,"0,94",0,-,0,0,"1,2",0,0,"0,13","0,26","0,26",0,0,0,0,0,0,"0,13",0,"0,25",0,0,-,"0,089","0,17",60,"0,23",45,-,"0,052","0,3",34,22,"0,04",220,321,"28,9",92,"0,68",16,-,3,"0,8","0,2","2,2","1,5","0,21","0,21",4,"0,8","0,31",14,"1,59"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26057,"Limande, crue","Limande, crue","80,8",342,"80,8","79,7","18,3","18,3",traces,"0,85",0,-,0,0,"0,96",0,0,"0,16","0,18","0,2",-,-,-,-,-,"0,013","0,11","0,024","0,084","0,0027","0,00074",-,"0,043","0,16","49,8","0,28","47,5",0,"0,06","0,29",30,"24,7","0,04",176,262,"13,8",111,"0,46","14,2",-,"< 0,5","0,4",0,-,"0,5","0,1","0,081","2,64","0,54","0,23",5,"1,67"
4,406,0,"viandes, œufs, poissons",poissons crus,-,26058,"Sole, crue","Sole, crue","77,3",328,"77,3","80,1",18,18,traces,"0,6",0,0,0,0,"1,26",0,0,"0,13","0,1","0,16",-,-,-,-,-,"0,009","0,082","0,026","0,037","0,003","0,00052","0,039","0,019","0,081","51,8","0,19","22,5",142,"< 0,1","0,35","88,2","26,9","< 0,1",170,349,23,"76,3","0,42",5,0,"0,75","0,47",0,-,traces,"0,046","0,077","3,51","0,24","0,26","7,5","1,91"
